CourseID,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
ECE40862,19.0,80.0,13.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
ECE43700,9.0,4.0,2.0,9.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0
ECE43800,3.0,5.0,0.0,3.0,4.0,0.0,3.0,5.0,3.0,0.0,0.0,3.0,2.0
ECE44000,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0
ECE45500,6.0,3.0,5.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0
ECE46300,8.0,11.0,13.0,16.0,17.0,12.0,13.0,11.0,6.0,3.0,6.0,3.0,10.0
ECE46800,4.0,13.0,8.0,10.0,23.0,6.0,6.0,12.0,0.0,2.0,2.0,2.0,4.0
ECE47700,17.0,29.0,17.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE49022,0.0,65.0,13.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ECE49401,0.0,162.0,36.0,22.0,20.0,13.0,5.0,5.0,2.0,1.0,1.0,2.0,9.0
ECE50631,0.0,39.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE50632,0.0,33.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ECE50633,26.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ECE53800,9.0,22.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ECE54400,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ECE54700,3.0,3.0,5.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
ECE55900,6.0,6.0,18.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ECE56300,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ECE56500,6.0,9.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
